open | 2020-01-26 13:27:06
open | 2020-01-26 13:27:11
open | 2020-01-26 13:56:56
open | 2020-01-26 13:57:00
open | 2020-01-26 13:57:25
open | 2020-01-26 13:57:45
open | 2020-01-26 13:57:53
open | 2020-01-26 13:58:45
open | 2020-01-26 13:59:01
open | 2020-01-26 14:03:13
open | 2020-01-26 14:03:16
open | 2020-01-26 14:03:36
open | 2020-01-26 14:03:41
open | 2020-01-26 14:03:53
open | 2020-01-26 14:03:59
open | 2020-01-26 14:04:21
open | 2020-01-26 14:04:44
open | 2020-01-26 14:05:14
open | 2020-01-26 14:05:17
open | 2020-01-26 14:05:41
close | 2020-01-26 14:06:34
close | 2020-01-26 14:06:36
close | 2020-01-26 14:06:38
close | 2020-01-26 14:07:08
close | 2020-01-26 14:07:08
close | 2020-01-26 14:07:09
open | 2020-01-26 14:07:40
